20231102_205339 - Executing: bun hardhat run scripts/core/deployRegistry.ts --network mumbai | tee ./reports/deployment-logs/core/deployRegistry/mumbai/20231102_205339/deploy-20231102_205339.log
20231102_205508 - Executing: bun hardhat run scripts/core/deployRegistry.ts --network --no-compile mumbai | tee ./reports/deployment-logs/core/deployRegistry/mumbai/20231102_205508/deploy-20231102_205508.log
20231102_205509 - Executing: bun hardhat run scripts/core/deployRegistry.ts --network --no-compile goerli | tee ./reports/deployment-logs/core/deployRegistry/goerli/20231102_205508/deploy-20231102_205508.log
20231102_205510 - Executing: bun hardhat run scripts/core/deployRegistry.ts --network --no-compile sepolia | tee ./reports/deployment-logs/core/deployRegistry/sepolia/20231102_205508/deploy-20231102_205508.log
20231102_205510 - Executing: bun hardhat run scripts/core/deployRegistry.ts --network --no-compile arbitrum-goerli | tee ./reports/deployment-logs/core/deployRegistry/arbitrum-goerli/20231102_205508/deploy-20231102_205508.log
20231102_205511 - Executing: bun hardhat run scripts/core/deployRegistry.ts --network --no-compile optimism-goerli | tee ./reports/deployment-logs/core/deployRegistry/optimism-goerli/20231102_205508/deploy-20231102_205508.log
20231102_205512 - Executing: bun hardhat run scripts/core/deployRegistry.ts --network --no-compile base-testnet | tee ./reports/deployment-logs/core/deployRegistry/base-testnet/20231102_205508/deploy-20231102_205508.log
20231102_205513 - Executing: bun hardhat run scripts/core/deployRegistry.ts --network --no-compile celo-testnet | tee ./reports/deployment-logs/core/deployRegistry/celo-testnet/20231102_205508/deploy-20231102_205508.log
20231102_205527 - Executing: bun hardhat run scripts/core/deployRegistry.ts --no-compile --network mumbai | tee ./reports/deployment-logs/core/deployRegistry/mumbai/20231102_205527/deploy-20231102_205527.log
20231102_205713 - Executing: bun hardhat run scripts/core/deployRegistry.ts --no-compile --network goerli | tee ./reports/deployment-logs/core/deployRegistry/goerli/20231102_205527/deploy-20231102_205527.log
20231102_205913 - Executing: bun hardhat run scripts/core/deployRegistry.ts --no-compile --network sepolia | tee ./reports/deployment-logs/core/deployRegistry/sepolia/20231102_205527/deploy-20231102_205527.log
20231102_210144 - Executing: bun hardhat run scripts/core/deployRegistry.ts --no-compile --network arbitrum-goerli | tee ./reports/deployment-logs/core/deployRegistry/arbitrum-goerli/20231102_205527/deploy-20231102_205527.log
20231102_210320 - Executing: bun hardhat run scripts/core/deployRegistry.ts --no-compile --network optimism-goerli | tee ./reports/deployment-logs/core/deployRegistry/optimism-goerli/20231102_205527/deploy-20231102_205527.log
20231102_210452 - Executing: bun hardhat run scripts/core/deployRegistry.ts --no-compile --network base-testnet | tee ./reports/deployment-logs/core/deployRegistry/base-testnet/20231102_205527/deploy-20231102_205527.log
